Organization Name,Total Funding Amount Currency (in USD),Funding Type,stagename,Analise descarte,,
SIKUR,"$5,000,000",Series A,Discard,Dúvida,,
Americas Technology,"$5,000,000",Series A,,Não tivemos acesso,,
Koin,"$4,900,000",Series A,Discard,Não tivemos acesso,,
Labi Exames,"$4,896,680",Series A,Discard,Dúvida,,
Curseria,"$4,887,156",Series A,,Não tivemos acesso,,
Raizs,"$4,844,242",Series A,Discard,Indefinido,,
Audimo,"$4,803,802",Series A,,Não tivemos acesso,,
FCJ Venture Builder,"$4,500,000",Series A,inelegivel,,,
Rabbot,"$4,479,152",Series A,Discard,Não se aplica,,
QFlash LLC,"$4,469,074",Series A,,Não tivemos acesso,,
Vitalk,"$4,329,551",Series A,Discard,Falso Negativo,,
Letrus,"$4,300,000",Series A,Discard,Não tivemos acesso,,
Dattos,"$4,254,488",Series A,P.Comitê 02,Indefinido,,
Nuu,"$4,105,180",Series A,Zero,Não tivemos acesso,,
KPG S.A,"$4,062,876",Series A,,Não tivemos acesso,,
Cromai,"$3,767,652",Series A,Discard,Dúvida,,
OmniChat,"$3,737,479",Series A,Discard,Falso Negativo,,
DXA Invest,"$3,633,919",Series A,,Não tivemos acesso,,
Cuponeria,"$3,400,000",Series A,Registered,Não tivemos acesso,,
InfoPrice,"$3,336,858",Series A,Discard,Não se aplica,,
Mediação Online,"$3,319,187",Series A,Discard,Indefinido,,
Movidesk,"$3,098,513",Series A,Discard,Não tivemos acesso,,
eatopia,"$3,000,000",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
Letz App,"$3,000,000",Series A,Discard,Não tivemos acesso,,
Teva Indices,"$2,970,148",Series A,Discard,Indefinido,,
Laqus,"$2,745,874",Series A,,Não tivemos acesso,,
Carflix,"$2,700,000",Series A,Discard,Verdadeiro Negativo,,
Agente Imovel Inteligencia de Busca,"$2,500,000",Series A,,Não tivemos acesso,,
Zazcar,"$2,331,727",Series A,Discard,Verdadeiro negativo,,
Delta Global,"$2,320,828",Series A,,Não tivemos acesso,,
CARUPI,"$2,316,392",Series A,Discard,Indefinido,,
Pink Farms,"$2,307,656",Series A,Discard,Indefinido,,
Horus Aeronaves,"$2,277,900",Series A,Discard,Não se aplica,,
Liuv,"$2,073,732",Series A,Discard,Verdadeiro Negativo,,
Beegol,"$2,049,137",Series A,Discard,Indefinido,,
Boxit,"$2,010,000",Series A,Discard,Não se aplica,,
Naturanic,"$2,000,000",Series A,,Não tivemos acesso,,
TNH Health,"$2,000,000",Series A,Discard,Dúvida,,
AppGas,"$2,000,000",Series A,Zero,Não tivemos acesso,,
Lupeon,"$1,977,227",Series A,Discard,Não se aplica,,
SVATech,"$1,965,408",Series A,Zero,Não tivemos acesso,,
Solis,"$1,921,722",Series A,,Não tivemos acesso,,
AoCubo,"$1,885,446",Series A,Discard,Dúvida,,
Repassa,"$1,864,836",Series A,Discard,Dúvida,,
Arpac Drones,"$1,817,382",Series A,Discard,Dúvida,,
CowMed,"$1,773,852",Series A,Discard,Não se aplica,,
Infleet,"$1,762,050",Series A,Portfolio,,,
Paytrack,"$1,646,043",Series A,Discard,Falso Negativo,,
mLabs,"$1,621,311",Series A,Portfolio,,,
Virtus Pay,"$1,537,944",Series A,Registered,Não tivemos acesso,,
Smartbreeder,"$1,521,838",Series A,Fazer Teste de Aderência,Não tivemos acesso,,
ALTAVE,"$1,503,239",Series A,Cadastro Startup,Não tivemos acesso,,
