,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
8541,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Kai Schoppen,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8542,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Peter Fernandez,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8543,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,SanDisk,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8544,Printi,56200000.0,Series A,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2012-08-08,,Zarco Investment Group,Early Stage Venture,1200000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2012,
8545,Printi,56200000.0,Corporate Round,"Asset Management, B2B, Commercial, E-Commerce, Information Technology, Internet, Marketing, Printing",2014-10-07,VistaPrint,VistaPrint,,25000000.0,,Yes,Printi is a B2B e-commerce company that aims on breaking the lack of transparency and efficiency in printed products.,https://www.printi.com.br/,$50M to $100M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2014,790.0
8547,Prius,,Angel,Brewing,2022-03-14,Harvard Business School Alumni Angels of Brazil,Harvard Business School Alumni Angels of Brazil,Seed,,,Yes,Prius is a brewing company.,https://www.prius.ind.br/sobre-a-prius/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2022,
8549,Privacy Tools,1010945.0,Convertible Note,"Compliance, Cyber Security, Information Technology, Legal, Legal Tech, Network Security, Privacy, Software",2020-01-10,,OBr.global,,10000.0,,No,"Privacy compliance platform, based on AI/Blockchain, which helps global companies to keep compliant with the data protection requirements.",https://privacytools.com.br/,$1M to $10M,Seed,5,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2020,70.0
8550,Privacy Tools,1010945.0,Seed,"Compliance, Cyber Security, Information Technology, Legal, Legal Tech, Network Security, Privacy, Software",2020-11-05,,I2G Capital,Seed,200000.0,,Yes,"Privacy compliance platform, based on AI/Blockchain, which helps global companies to keep compliant with the data protection requirements.",https://privacytools.com.br/,$1M to $10M,Seed,5,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2020,300.0
8551,Privacy Tools,1010945.0,Seed,"Compliance, Cyber Security, Information Technology, Legal, Legal Tech, Network Security, Privacy, Software",2021-08-01,,Bossanova Investimentos,Seed,400000.0,,Yes,"Privacy compliance platform, based on AI/Blockchain, which helps global companies to keep compliant with the data protection requirements.",https://privacytools.com.br/,$1M to $10M,Seed,5,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2021,269.0
8552,Privacy Tools,1010945.0,Seed,"Compliance, Cyber Security, Information Technology, Legal, Legal Tech, Network Security, Privacy, Software",2022-02-10,,Bossanova Investimentos,Seed,380945.0,,Yes,"Privacy compliance platform, based on AI/Blockchain, which helps global companies to keep compliant with the data protection requirements.",https://privacytools.com.br/,$1M to $10M,Seed,5,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2022,193.0
