,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
6687,Memed,86162134.0,Venture - Series Unknown,"Health Care, Information Technology, Medical",2015-08-21,Redpoint eventures,monashees,,500000.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2015,547.0
6688,Memed,86162134.0,Venture - Series Unknown,"Health Care, Information Technology, Medical",2015-08-21,Redpoint eventures,Qualcomm Ventures,,500000.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2015,547.0
6689,Memed,86162134.0,Venture - Series Unknown,"Health Care, Information Technology, Medical",2015-08-21,Redpoint eventures,Redpoint eventures,,500000.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2015,547.0
6690,Memed,86162134.0,Series A,"Health Care, Information Technology, Medical",2017-01-01,Redpoint eventures,monashees,Early Stage Venture,3000000.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2017,499.0
6691,Memed,86162134.0,Series A,"Health Care, Information Technology, Medical",2017-01-01,Redpoint eventures,Qualcomm Ventures,Early Stage Venture,3000000.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2017,499.0
6692,Memed,86162134.0,Series A,"Health Care, Information Technology, Medical",2017-01-01,Redpoint eventures,Redpoint eventures,Early Stage Venture,3000000.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2017,499.0
6693,Memed,86162134.0,Series B,"Health Care, Information Technology, Medical",2020-02-21,DNA Capital,DNA Capital,Early Stage Venture,4556223.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2020,1146.0
6694,Memed,86162134.0,Series B,"Health Care, Information Technology, Medical",2020-02-21,DNA Capital,Redpoint eventures,Early Stage Venture,4556223.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2020,1146.0
6695,Memed,86162134.0,Series C,"Health Care, Information Technology, Medical",2021-06-16,DNA Capital,DNA Capital,Late Stage Venture,59337790.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2021,481.0
6696,Memed,86162134.0,Series C,"Health Care, Information Technology, Medical",2021-10-29,DNA Capital,DNA Capital,Late Stage Venture,17743709.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2021,135.0
6697,Memed,86162134.0,Series C,"Health Care, Information Technology, Medical",2021-10-29,DNA Capital,Temasek Holdings,Late Stage Venture,17743709.0,,Yes,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2021,135.0
6698,Memed,86162134.0,Non-equity Assistance,"Health Care, Information Technology, Medical",2022-09-05,Google for Startups,Google for Startups,,,,No,"The safest and friendliest e-prescribing tool, for doctors. The most convenient and affordable way for treatment adherence, for patients.",http://memed.com.br/,$1M to $10M,Late Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2022,311.0
6702,Menos Tinta,,Pre-Seed,,2019-08-01,,FCJ Bauru,Seed,,,Yes,Menos Tinta is a printing company that develops an algorithm that revolutionized the printing process.,https://menostinta.com.br/,,Seed,1,"Bauru, Sao Paulo, Brazil, South America",2019,
6703,Menu Price,,Non-equity Assistance,Restaurants,2018-07-01,Google for Startups,Google for Startups,,,,No,Menu Price is a restaurant cost management platform that calculates the ideal price for each menu item.,http://www.menuprice.com.br,,,1,"Maceió, Alagoas, Brazil, South America",2018,
6704,Mercadapp,,Seed,"Apps, E-Commerce, Mobile Apps, Shopping",2019-08-01,,Darwin Startups,Seed,,,Yes,Mercadapp is a Brazilian app for grocery shopping where users can purchase by swiping items and add it to their cart.,https://mercadapp.com/,,M&A,1,"Fortaleza, Mato Grosso do Sul, Brazil, South America",2019,
6705,Mercadinho.ai,,Angel,"Retail, Retail Technology",2021-06-10,,WOW Aceleradora,Seed,,,Yes,micro mercado autônomo,http://www.mercadinho.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
6706,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",DealMaker,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6707,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",Evora Equity,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6708,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",G2D Investments,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6709,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",Gear Ventures,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6710,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",GP Investments,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6711,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",JP Morgan,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6712,Mercado Bitcoin,,Series A,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-01-01,"G2D Investments, GP Investments, Parallax Ventures",Parallax Ventures,Early Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,
6714,Mercado Bitcoin,,Series C,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-12-01,,Bossanova Investimentos,Late Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,122.0
6715,Mercado Bitcoin,,Series C,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech",2021-12-01,,Endeavor Catalyst,Late Stage Venture,,,Yes,"Mercado Bitcoin is a cryptocurrency exchange platform that allows people to trade cryptocurrency, digital assets, and other tokens.",https://www.mercadobitcoin.com.br,$1M to $10M,Late Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America",2021,122.0
6716,Mercado Eletrônico,9681029.0,Private Equity,"E-Commerce, Information Technology, Internet, Marketplace, Outsourcing, Software",2015-03-10,DGF Investimentos,DGF Investimentos,Private Equity,9681029.0,,Yes,Mercado Eletrônico provides B2B e-commerce solutions for companies in Latin America.,http://mercadoeletronico.biz/,$10M to $50M,Private Equity,1,"Barueri, Sao Paulo, Brazil, South America",2015,
6717,Mercado Pago,466000000.0,Debt Financing,"E-Commerce, Education, Fashion, FinTech, Internet",2023-11-09,Banco Citibank SA,Banco Citibank SA,,466000000.0,,No,MercadoPago is the leading Internet payment platform in the Latin American region.,https://www.mercadopago.com.ar/,$1M to $10M,,1,"Santana De Parnaíba, Sao Paulo, Brazil, South America",2023,
6718,Mercado Pago,466000000.0,Debt Financing,"E-Commerce, Education, Fashion, FinTech, Internet",2023-11-09,Banco Citibank SA,Citibanamex,,466000000.0,,No,MercadoPago is the leading Internet payment platform in the Latin American region.,https://www.mercadopago.com.ar/,$1M to $10M,,1,"Santana De Parnaíba, Sao Paulo, Brazil, South America",2023,
6719,Mercado Radar,269833.0,Angel,"Artificial Intelligence (AI), Database",2020-12-01,Anjos do Brasil,Anjos do Brasil,Seed,60000.0,520000.0,Yes,"Mercado Radar is an artificial intelligence company that provides price information, unit sales, and billing for mercado livre products.",https://www.mercadoradar.com.br,Less than $1M,Seed,2,"Curitiba, Parana, Brazil, South America",2020,
6720,Mercado Radar,269833.0,Seed,"Artificial Intelligence (AI), Database",2022-03-28,,CapTable,Seed,209832.0,,Yes,"Mercado Radar is an artificial intelligence company that provides price information, unit sales, and billing for mercado livre products.",https://www.mercadoradar.com.br,Less than $1M,Seed,2,"Curitiba, Parana, Brazil, South America",2022,482.0
6721,Mercado de Recebíveis,,Angel,Financial Services,2023-12-18,Urca Angels,Ines Correa de Souza,Seed,,,Yes,Mercado de Recebíveis provides financial instruments to assist businesses in managing their cash flow.,https://mercadoderecebiveis.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
6722,Mercado de Recebíveis,,Angel,Financial Services,2023-12-18,Urca Angels,Marcelo Bella,Seed,,,Yes,Mercado de Recebíveis provides financial instruments to assist businesses in managing their cash flow.,https://mercadoderecebiveis.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
6723,Mercado de Recebíveis,,Angel,Financial Services,2023-12-18,Urca Angels,Urca Angels,Seed,,,Yes,Mercado de Recebíveis provides financial instruments to assist businesses in managing their cash flow.,https://mercadoderecebiveis.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2023,
6724,Mercado Único,395000.0,Pre-Seed,"B2B, Consumer Goods, Sales, Web Development",2024-04-04,Techstars,STRIVE,Seed,395000.0,,Yes,Mercado Único is a B2B platform for the distribution and management of opportunistic sales of Consumer Goods.,https://www.mercadounico.tech,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America",2024,
6725,Mercado Único,395000.0,Pre-Seed,"B2B, Consumer Goods, Sales, Web Development",2024-04-04,Techstars,Techstars,Seed,395000.0,,Yes,Mercado Único is a B2B platform for the distribution and management of opportunistic sales of Consumer Goods.,https://www.mercadounico.tech,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America",2024,
6726,Mercafacil,,Seed,"Analytics, Retail Technology, Software",2015-10-15,TM3 Capital,TM3 Capital,Seed,,,Yes,Mercafacil is customer intelligence software that offers customer management and analytics.,https://www.mercafacil.com,,,3,"Curitiba, Parana, Brazil, South America",2015,
6727,Mercafacil,,Venture - Series Unknown,"Analytics, Retail Technology, Software",2019-08-02,,Bossanova Investimentos,,,,Yes,Mercafacil is customer intelligence software that offers customer management and analytics.,https://www.mercafacil.com,,,3,"Curitiba, Parana, Brazil, South America",2019,1387.0
6728,Mercafacil,,Venture - Series Unknown,"Analytics, Retail Technology, Software",2021-12-03,Z-Tech,Z-Tech,,,,Yes,Mercafacil is customer intelligence software that offers customer management and analytics.,https://www.mercafacil.com,,,3,"Curitiba, Parana, Brazil, South America",2021,854.0
6730,Mercatório,,Pre-Seed,"Credit, Finance, Financial Services, FinTech, Legal Tech",2017-05-01,,Darwin Startups,Seed,,,Yes,Mercatório was created in order to provide liquidity to those who hold this title and to facilitate the prospection of those who want to buy,http://www.mercatorio.com.br/,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2017,
6731,Mercos,1975408.0,Venture - Series Unknown,"Sales Automation, Software",2015-06-10,"monashees, Qualcomm Ventures",monashees,,1925407.0,,Yes,"Mercos, previously known as Meus Pedidos, is a computer software company that develops and provides sales management software.",https://mercos.com,$1M to $10M,M&A,2,"Joinville, Santa Catarina, Brazil, South America",2015,
6732,Mercos,1975408.0,Venture - Series Unknown,"Sales Automation, Software",2015-06-10,"monashees, Qualcomm Ventures",Qualcomm Ventures,,1925407.0,,Yes,"Mercos, previously known as Meus Pedidos, is a computer software company that develops and provides sales management software.",https://mercos.com,$1M to $10M,M&A,2,"Joinville, Santa Catarina, Brazil, South America",2015,
6733,Mercos,1975408.0,Non-equity Assistance,"Sales Automation, Software",2016-11-22,Google Launchpad Accelerator,Google Launchpad Accelerator,,50000.0,,No,"Mercos, previously known as Meus Pedidos, is a computer software company that develops and provides sales management software.",https://mercos.com,$1M to $10M,M&A,2,"Joinville, Santa Catarina, Brazil, South America",2016,531.0
6734,Mercê do Bairro,13100000.0,Seed,Retail Technology,2019-12-01,,Bossanova Investimentos,Seed,3100000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2019,
6735,Mercê do Bairro,13100000.0,Seed,Retail Technology,2019-12-01,,Norte Ventures,Seed,3100000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2019,
6736,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",Alexia Ventures,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6737,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",DOMO.VC,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6738,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",Flourish Ventures,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6739,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",Global Founders Capital,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6740,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",MAYA Capital,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6741,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",Picus Capital,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6742,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",Prana Capital,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6743,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",Quartz,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6744,Mercê do Bairro,13100000.0,Series A,Retail Technology,2021-10-21,"Flourish Ventures, Global Founders Capital",SV Latam Capital,Early Stage Venture,10000000.0,,Yes,Mercê do Bairro is a virtual retail chain that offers digital solutions to help small grocery stores increase revenue and cut costs.,https://www.mercedobairro.com/,$1M to $10M,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2021,690.0
6745,Mereo,952562.0,Series A,"Human Resources, Information Technology",2021-08-13,,Cedro Capital,Early Stage Venture,952562.0,,Yes,Mereo is a global company developing integrated platform for managing people and organizations,https://mereo.com,,Early Stage Venture,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2021,
6746,Mereo,952562.0,Series A,"Human Resources, Information Technology",2021-08-13,,KPTL,Early Stage Venture,952562.0,,Yes,Mereo is a global company developing integrated platform for managing people and organizations,https://mereo.com,,Early Stage Venture,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2021,
6752,Metha Energia,242519.0,Pre-Seed,"Electrical Distribution, Energy, Renewable Energy",2019-10-01,SuperJobs,SuperJobs,Seed,242518.0,,Yes,Metha Energia provides a platform to purchase electricity plan and pay the electricity bill.,https://www.methaenergia.com.br/,$1M to $10M,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2019,
6753,Metropole 4,150000.0,Angel,"Advertising, Advertising Platforms, Brand Marketing",2021-01-01,Anjos do Brasil,Anjos do Brasil,Seed,,,Yes,Metropole 4 is an advertising services company that connects brands to digital influencers with different profiles.,https://metropole4.com,,Seed,3,"Belo Horizonte, Minas Gerais, Brazil, South America",2021,
6754,Metropole 4,150000.0,Convertible Note,"Advertising, Advertising Platforms, Brand Marketing",2021-12-01,,Anjos do Brasil,,150000.0,,No,Metropole 4 is an advertising services company that connects brands to digital influencers with different profiles.,https://metropole4.com,,Seed,3,"Belo Horizonte, Minas Gerais, Brazil, South America",2021,334.0
6755,Metropole 4,150000.0,Seed,"Advertising, Advertising Platforms, Brand Marketing",2022-05-24,,Bossanova Investimentos,Seed,,,Yes,Metropole 4 is an advertising services company that connects brands to digital influencers with different profiles.,https://metropole4.com,,Seed,3,"Belo Horizonte, Minas Gerais, Brazil, South America",2022,174.0
6756,Mettricx,14774.0,Pre-Seed,"Health Care, Information Technology, Software",2020-01-05,,FAPERJ,Seed,14773.0,2462292.0,Yes,We developed a Health Digital Identity based on Blockchain and AI,https://www.mettricx.com/,,Seed,1,"Rio, Rio de Janeiro, Brazil, South America",2020,
6757,Mettzer,,Pre-Seed,"EdTech, Education, Innovation Management, Internet, Knowledge Management, Payments, Software",2019-06-07,,Bossanova Investimentos,Seed,,,Yes,Mettzer is a platform that centralizes the production of academic and scientific content in educational institutions.,http://www.mettzer.com,Less than $1M,,2,"Florianópolis, Santa Catarina, Brazil, South America",2019,
6758,Mettzer,,Venture - Series Unknown,"EdTech, Education, Innovation Management, Internet, Knowledge Management, Payments, Software",2020-08-06,,Bossanova Investimentos,,,,Yes,Mettzer is a platform that centralizes the production of academic and scientific content in educational institutions.,http://www.mettzer.com,Less than $1M,,2,"Florianópolis, Santa Catarina, Brazil, South America",2020,426.0
6759,Meu Atendimento,,Pre-Seed,"Consumer Research, Customer Service, Retail",2017-12-15,,Bossanova Investimentos,Seed,,,Yes,Meu Atendimento is a web and mobile solution for registering and analyzing customer service in retail stores.,http://meuatendimento.com.br/,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2017,
6760,Meu Atendimento,,Seed,"Consumer Research, Customer Service, Retail",2019-05-29,,Bossanova Investimentos,Seed,,,Yes,Meu Atendimento is a web and mobile solution for registering and analyzing customer service in retail stores.,http://meuatendimento.com.br/,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2019,530.0
6761,Meu Bistrô,94554.0,Equity Crowdfunding,"Employment, Marketplace, Professional Services",2017-07-25,EqSeed,EqSeed,,94553.0,,Yes,Meu Bistrô is a marketplace created with the goal of connecting people looking to hold an event in their home.,https://meubistro.com/,,,1,"Cerqueira César, Sao Paulo, Brazil, South America",2017,
6762,Meu Compras,90604.0,Seed,"Information Technology, Security",2021-10-07,Leonora Ventures,Leonora Ventures,Seed,90604.0,,Yes,Meu Compras is a distributors' mall with the purpose of speeding up and promoting freedom for wholesalers and distributors.,https://meucompras.com/produtos/,,Seed,1,"Curitiba, Parana, Brazil, South America",2021,
6763,Meu Entrevistador,,Angel,,2018-06-11,,Anjos do Brasil,Seed,,,Yes,We are a digital platform that helps job applicants prepare for job interviews and other challenges they may face in selection process.,https://www.meuentrevistador.com.br/,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2018,
6764,Meu Entrevistador,,Angel,,2018-06-11,,Gvangels,Seed,,,Yes,We are a digital platform that helps job applicants prepare for job interviews and other challenges they may face in selection process.,https://www.meuentrevistador.com.br/,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2018,
6765,Meu Entrevistador,,Non-equity Assistance,,2019-04-01,Google for Startups,Google for Startups,,,,No,We are a digital platform that helps job applicants prepare for job interviews and other challenges they may face in selection process.,https://www.meuentrevistador.com.br/,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2019,294.0
6767,Meu Pescado,,Angel,"AgTech, Farming",2022-08-10,Aimorés Investments,Aimorés Investments,Seed,,,Yes,Meu Pescado offers aquaculture management services.,https://meupescado.com.br/,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America",2022,
6768,Meu Pescado,,Angel,"AgTech, Farming",2022-08-10,Aimorés Investments,Bossanova Investimentos,Seed,,,Yes,Meu Pescado offers aquaculture management services.,https://meupescado.com.br/,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America",2022,
6769,Meu Pescado,364352.0,Seed,"AgTech, Farming",2024-07-17,"Aimorés Investments, Incubate Fund",Aimorés Investments,Seed,364352.0,,Yes,Meu Pescado offers aquaculture management services.,https://meupescado.com.br/,,Seed,2,"Florianópolis, Santa Catarina, Brazil, South America",2024,707.0
6770,Meu Pescado,364352.0,Seed,"AgTech, Farming",2024-07-17,"Aimorés Investments, Incubate Fund",Incubate Fund,Seed,364352.0,,Yes,Meu Pescado offers aquaculture management services.,https://meupescado.com.br/,,Seed,2,"Florianópolis, Santa Catarina, Brazil, South America",2024,707.0
6772,Meu Rango,31658.0,Seed,"Apps, E-Commerce, Food Delivery",2017-09-25,,Cotidiano,Seed,31657.0,,Yes, Meu Rango is your free app for food delivery.,http://www.meurango.com,,Seed,1,"Brasília, Rio Grande do Norte, Brazil, South America",2017,
6773,MeuChapa,1223131.0,Debt Financing,"Apps, Logistics, Supply Chain Management",2023-05-09,Yunus Social Business,Yunus Social Business,,200513.0,,No,MeuChapa is a logtech digital platform that provides workforce solutions for logistics and supply chains.,https://meuchapa.net,,Seed,2,"Campina, Sao Paulo, Brazil, South America",2023,
6774,MeuChapa,1223131.0,Seed,"Apps, Logistics, Supply Chain Management",2023-05-09,Gvangels,Gvangels,Seed,1022617.0,,Yes,MeuChapa is a logtech digital platform that provides workforce solutions for logistics and supply chains.,https://meuchapa.net,,Seed,2,"Campina, Sao Paulo, Brazil, South America",2023,0.0
6775,MeuChapa,1223131.0,Seed,"Apps, Logistics, Supply Chain Management",2023-05-09,Gvangels,Tompkins Ventures,Seed,1022617.0,,Yes,MeuChapa is a logtech digital platform that provides workforce solutions for logistics and supply chains.,https://meuchapa.net,,Seed,2,"Campina, Sao Paulo, Brazil, South America",2023,0.0
6776,MeuChapa,1223131.0,Seed,"Apps, Logistics, Supply Chain Management",2023-05-09,Gvangels,Venture Hub,Seed,1022617.0,,Yes,MeuChapa is a logtech digital platform that provides workforce solutions for logistics and supply chains.,https://meuchapa.net,,Seed,2,"Campina, Sao Paulo, Brazil, South America",2023,0.0
6777,MeuPortfolio,176283.0,Seed,"Finance, Financial Services, FinTech, SaaS, Software",2021-03-10,,EqSeed,Seed,176282.0,,Yes,MeuPortfolio is a developer and provider of SaaS for financial management.,https://www.meuportfol.io/,,M&A,1,"São Paulo, Sao Paulo, Brazil, South America",2021,
6778,Meus Preços,,Seed,"Apps, Enterprise Applications, Management Consulting, Service Industry",2015-07-15,,Andréa Nogueira,Seed,,,Yes,Meus Preços is a Brazilian an app that empowers the consumer as to retail prices discovery.,http://www.meusprecos.com/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
6779,Meus Preços,,Seed,"Apps, Enterprise Applications, Management Consulting, Service Industry",2015-07-15,,CFA,Seed,,,Yes,Meus Preços is a Brazilian an app that empowers the consumer as to retail prices discovery.,http://www.meusprecos.com/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
6780,Meus Preços,,Seed,"Apps, Enterprise Applications, Management Consulting, Service Industry",2015-07-15,,Leonardo Teixeira,Seed,,,Yes,Meus Preços is a Brazilian an app that empowers the consumer as to retail prices discovery.,http://www.meusprecos.com/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
6781,Microinox,476000.0,Series A,"Advanced Materials, Automotive, Manufacturing",1987-11-01,,CRP Companhia de Participações,Early Stage Venture,476000.0,,Yes,Microinox Microfusão de Aços Ltda manufactures and supplies assembled and sub assembled parts and components.,http://www.microinox.com.br/,,Early Stage Venture,1,"Caxias Do Sul, Rio Grande do Sul, Brazil, South America",1987,
